Feature,001_SMC_IIRN_p3s1,002_SMC_IIRN_p3s2,003_SMC_IIRN_p3s3,004_SMC_IIRN_p3s4,005_SMC_IIRN_p4s1,006_SMC_IIRN_p4s2,007_SMC_IIRN_p4s3,008_SMC_IIRN_p4s4,009_SMC_IIRN_p5s1,010_SMC_IIRN_p5s2,011_SMC_IIRN_p5s3,012_SMC_IIRN_p5s4,013_SMC_IIRN_p8s1,014_SMC_IIRN_p8s2,015_SMC_IIRN_p8s3,017_SMC_IIRN_p9s1,018_SMC_IIRN_p9s2,019_SMC_IIRN_p9s3,020_SMC_IIRN_p9s4,021_SMC_IIRN_p10s1,022_SMC_IIRN_p10s2,023_SMC_IIRN_p10s3,025_SMC_IIRN_p11s1,026_SMC_IIRN_p11s2,027_SMC_IIRN_p11s3,028_SMC_IIRN_p11s4,029_SMC_IIRN_p12s1,030_SMC_IIRN_p12s2,031_SMC_IIRN_p12s3,032_SMC_IIRN_p12s4,034_SMC_IIRN_p13s1,035_SMC_IIRN_p13s2,036_SMC_IIRN_p13s3,037_SMC_IIRN_p13s4,038_SMC_IIRN_p13s5,039_SMC_IIRN_p13s6,040_SMC_IIRN_p13s7,044_SMC_IIRN_p14s1,045_SMC_IIRN_p14s2,046_SMC_IIRN_p14s3,047_SMC_IIRN_p14s4,048_SMC_IIRN_p15s1,049_SMC_IIRN_p15s2,050_SMC_IIRN_p15s3,052_SMC_IIRN_p16s1,053_SMC_IIRN_p16s2,054_SMC_IIRN_p16s3,055_SMC_IIRN_p16s4,056_SMC_IIRN_p17s1,057_SMC_IIRN_p17s2,058_SMC_IIRN_p17s3,059_SMC_IIRN_p17s4,060_SMC_IIRN_p18s1,061_SMC_IIRN_p18s2,062_SMC_IIRN_p18s3,064_SMC_IIRN_p19s1,065_SMC_IIRN_p19s2,066_SMC_IIRN_p19s3,068_SMC_IIRN_p25s1,069_SMC_IIRN_p25s2,070_SMC_IIRN_p25s3,074_SMC_IIRN_p27s3,075_SMC_IIRN_p27s4,076_SMC_IIRN_p29s1,077_SMC_IIRN_p29s2,078_SMC_IIRN_p29s3,079_SMC_IIRN_p29s4,080_SMC_IIRN_p29s5,081_SMC_IIRN_p29s6,082_SMC_IIRN_p29s7,083_SMC_IIRN_p29s8,084_SMC_IIRN_p29s9,086_SMC_IIRN_p34s1,087_SMC_IIRN_p34s2,088_SMC_IIRN_p34s3,089_SMC_IIRN_p34s4,090_SMC_IIRN_p36s1,091_SMC_IIRN_p36s2,092_SMC_IIRN_p36s3,093_SMC_IIRN_p36s4,094_SMC_IIRN_p37s1,095_SMC_IIRN_p37s2,096_SMC_IIRN_p37s3,097_SMC_IIRN_p37s4,099_SMC_IIRN_p38s2,100_SMC_IIRN_p38s3,102_SMC_IIRN_p41s1,103_SMC_IIRN_p41s2,104_SMC_IIRN_p41s3,105_SMC_IIRN_p41s4,106_SMC_IIRN_p42s1,107_SMC_IIRN_p42s2,108_SMC_IIRN_p42s3,110_SMC_IIRN_p43s1,111_SMC_IIRN_p43s2,112_SMC_IIRN_p43s3,113_SMC_IIRN_p43s4
1-Aminocyclopropanecarboxylate,0.00486887,0.003764783,0.002864084,0.005937362,0.001826189,0.002015309,0.005052974,0.003363618,0.002752455,0.003037058,0.002945192,0.003656054,0.003286709,0.00422502,0.004249799,0.002837113,0.004462391,0.002608412,0.004100838,0.003428328,0.004759332,0.002906009,0.003539264,0.002616708,0.003255601,0.001626555,0.004393347,0.001979157,0.003780735,0.00324928,0.002813077,0.004812348,0.003619444,0.004770188,0.003381913,0.00227985,0.003514571,0.005189636,0.00502666,0.003454204,0.003569494,0.002701163,0.002258607,0.0021256,0.002019949,0.002796429,0.002811642,0.003599263,0.002056461,0.00318604,0.003251902,0.002889635,0.002036587,0.002510782,0.002147037,0.002911436,0.003177443,0.003554402,0.003241348,0.004562215,0.003582163,0.003894972,0.003057443,0.003548658,0.00322202,0.002563232,0.00275027,0.002329105,0.005490342,0.002849307,0.003135821,0.002135858,0.00278337,0.003735158,0.003138884,0.003187776,0.004592381,0.003341121,0.003334197,0.003531909,0.002820763,0.002864369,0.003132605,0.0025358,0.003012847,0.00238438,0.003110526,0.003339999,0.004047931,0.002420934,0.004386569,0.002582638,0.002273473,0.002866464,0.002495662,0.002473351,0.003363639
1-Methyladenosine,0.009046109,0.009583222,0.009701267,0.007955941,0.007620896,0.008658185,0.010585407,0.006947828,0.013564015,0.008625837,0.011604358,0.01111375,0.013165531,0.009853136,0.009901368,0.009667323,0.008900419,0.010107147,0.011413945,0.01231402,0.009436087,0.008831383,0.010233264,0.009165459,0.011054325,0.009285975,0.009890892,0.012563569,0.008813557,0.010420656,0.011289164,0.008761789,0.011448425,0.012146337,0.008314529,0.010109882,0.010526372,0.010895987,0.009613714,0.012632299,0.011478247,0.00773137,0.008445225,0.006792034,0.011513922,0.008673033,0.008255311,0.008471935,0.010168896,0.009430838,0.011913542,0.009871867,0.008807209,0.008425084,0.009957921,0.010482879,0.012577652,0.010604441,0.008614697,0.008369538,0.008721115,0.012659296,0.009178769,0.010287358,0.011786477,0.011215561,0.010467951,0.010399361,0.009671375,0.0105938,0.009421813,0.010244254,0.008559229,0.007844763,0.008756469,0.011069479,0.009575898,0.008346474,0.008542503,0.01041163,0.008769342,0.009010949,0.007884725,0.010183714,0.008582682,0.010831061,0.008645426,0.009260665,0.008279596,0.009350529,0.008208552,0.009118115,0.01201664,0.010155936,0.011964421,0.014855183,0.010205004
10-HAD,0.00382658,0.024901419,0.004539777,0.01357112,0.008190722,0.009103985,0.004025085,0.007926008,0.014458302,0.00736794,0.010006695,0.050925112,0.007871748,0.012455744,0.00867764,0.019866949,0.013833903,0.004070501,0.007950219,0.007659285,0.008246358,0.003975765,0.008002482,0.007833223,0.010859626,0.009259306,0.007739179,0.011806601,0.006478907,0.003830168,0.013383932,0.008677165,0.00969293,0.012721136,0.02104283,0.040857862,0.013110639,0.037229775,0.011523251,0.02288618,0.01665081,0.010189503,0.028511688,0.009289356,0.004274966,0.008598547,0.009814059,0.00487857,0.003972967,0.00869007,0.004425802,0.006084825,0.01876882,0.009131159,0.014957242,0.022580766,0.020212733,0.005198479,0.026741386,0.01367228,0.01507752,0.016154111,0.016538838,0.004316081,0.008163731,0.005356768,0.006966479,0.005980512,0.00630549,0.009021394,0.006612389,0.004364077,0.006600363,0.005019495,0.014786052,0.005134814,0.009607783,0.003063126,0.012956659,0,0.004812847,0.004865333,0.007920013,0.018842668,0.004640624,0.035495192,0.004732204,0.019656232,0.006320346,0.015085375,0.011029498,0.008008488,0.016278207,0.015141481,0.027467732,0.026714582,0.009185372
10-Hydroxydecanoic acid,0.00307199,0.011998942,0.003181678,0.005887812,0.009473146,0.005570191,0.00970765,0.007154823,0.009113451,0.00871879,0.004243674,0.014666887,0.004172354,0.002693623,0.003516018,0.011965941,0.004247204,0.003857482,0.003879453,0.002576898,0.003515441,0.002999877,0.008465741,0.006204869,0.007441682,0.006946833,0.008512072,0.00356592,0.001907551,0.003517545,0.007520874,0.005014163,0.009849938,0.003421929,0.016756488,0.015720061,0.005394884,0.017443546,0.014262735,0.018937567,0.011086359,0.004790095,0.009772451,0.004997043,0.009296013,0.007936355,0.003783737,0.003048305,0.004850206,0.008462975,0.003598403,0.00798401,0.005676469,0.003337377,0.007489241,0.011310191,0.004247199,0.004029185,0.008534705,0.003751107,0.005084801,0.015413917,0.007550293,0.003177342,0.005908622,0.00269301,0.005748436,0.003151125,0.003528326,0.00515834,0.002721157,0.003315115,0.005181476,0.005017336,0.004397934,0.004425291,0.004176076,0.003600946,0.004329662,0.006348035,0.003143907,0.003872767,0.002836674,0.010430981,0.003966308,0.005617601,0.004448859,0.016015066,0.003818368,0.008774769,0.003202485,0.004669933,0.00711183,0.01747251,0.017187198,0.023895784,0.007899461
14-Methylhexadecanoic acid,0.026665489,0.016009814,0.029341334,0.018567195,0.018694631,0.02856495,0.026118479,0.028181831,0.020904112,0.036292034,0.018616789,0.018520566,0.016639616,0.015604895,0.01601679,0.028597893,0.013163245,0.01901691,0.047136781,0.015770809,0.02539328,0.013783479,0.023687498,0.018647269,0.014462942,0.029491235,0.015651328,0.013031996,0.016992399,0.018376885,0.018387091,0.019337897,0.021066922,0.015168448,0.023066024,0.018208331,0.015008996,0.020378641,0.032238589,0.030992644,0.02343053,0.032820811,0.044060376,0.031462301,0.035073577,0.02680276,0.016312629,0.013393106,0.029201924,0.030633769,0.02012147,0.026059568,0.033958915,0.019200984,0.020955521,0.029016132,0.023246954,0.036606728,0.016324128,0.01841829,0.016911751,0.02873448,0.019705132,0.035417314,0.038800201,0.036197471,0.033782254,0.028376715,0.041894167,0.031955172,0.01294087,0.02474752,0.028987113,0.034440331,0.018849926,0.013849357,0.021115293,0.024647993,0.028086327,0.03115146,0.027608571,0.037405934,0.014901252,0.034124595,0.027586476,0.045533138,0.036425192,0.033557936,0.029362367,0.02538452,0.020736601,0.02450537,0.026029893,0.035751383,0.018544136,0.021912533,0.020040584
2 Deoxy D Glucose,0.221743968,0.19650303,0.200206655,0.152443207,0.276786362,0.290287162,0.315622334,0.286249123,0.247143828,0.202149659,0.193832952,0.175514081,0.235166505,0.247484736,0.257578792,0.214122578,0.192215874,0.196308726,0.187536797,0.174124643,0.161033551,0.161268668,0.248135188,0.207984813,0.240334974,0.229086169,0.244715754,0.29537397,0.275915922,0.295990047,0.20549199,0.182693211,0.197930171,0.201195643,0.213114338,0.364457252,0.271752837,0.222876504,0.231442509,0.205054506,0.233451261,0.302389507,0.441316211,0.29626252,0.246016971,0.211178664,0.208182153,0.190192523,0.195797249,0.201852174,0.260572415,0.176322726,0.231567333,0.224146332,0.234589465,0.078827328,0.080218357,0.078692908,0.257185627,0.238285456,0.279222263,0.120317932,0.093932457,0.396207815,0.347823207,0.384829342,0.27320647,0.344994023,0.33100609,0.418734434,0.327237245,0.349094656,0.119101238,0.123950509,0.173058943,0.198740233,0.153815663,0.164544567,0.168736061,0.168317653,0.122469721,0.118594502,0.118991095,0.126850987,0.253886961,0.234459128,0.141847218,0.136684863,0.129680932,0.154378647,0.358266842,0.327191798,0.363196099,0.226331416,0.267636426,0.325647258,0.290334879
2-Acetamido-2-Deoxy-Beta-D-Glucosylamine,0.001172,0.001040881,0.002255321,0.001218825,0.001015782,8.67E-04,0.001496852,9.94E-04,0.00116433,0.002147566,0.001077837,0.001009137,0.001272804,0.001015029,0.001240529,0.001107494,0.00225681,0.001230223,0.001381717,0.001435473,0.001117296,0.001088755,0.001052021,0.001046017,0.001028415,0.001065235,0.001192481,0.00116473,0.001131671,0.001263805,0.002394716,0.001290298,0.001118228,0.001385051,0.001149075,8.67E-04,0.001116191,0.001239673,0.001490237,0.002593836,0.002350046,0.001094829,0.00124379,0.001114549,0.001234204,0.001114866,0.001395741,0.001356307,0.001131419,0.00112437,0.001068908,0.001170098,0.001130052,0.00135998,0.001965791,0.001125824,0.001365455,9.53E-04,0.001231943,0.00100867,9.74E-04,0.001523661,0.001131138,0.001171689,0.001160225,0.001076368,9.68E-04,9.55E-04,0.001275426,0.001278085,0.001207626,0.001427726,0.001045995,0.001141379,0.001210698,0.00134328,8.96E-04,9.79E-04,0.001039072,9.97E-04,9.86E-04,9.37E-04,0.001202798,0.001148303,0.001477349,0.001301186,0.001407925,9.55E-04,0.001026879,0.001352184,0.001217132,9.95E-04,0.001008341,0.001212326,8.44E-04,0.001267526,0.001484219
2-Aminoisobutyrate,0.137850226,0.13577772,0.14279966,0.129264836,0.156124324,0.117838561,0.123243281,0.137697361,0.133281486,0.13778894,0.143499717,0.134795768,0.153686875,0.144212148,0.13942439,0.169872374,0.18556792,0.157699943,0.159699117,0.154537193,0.163230165,0.143603804,0.1497355,0.138496118,0.137436457,0.128666458,0.137279478,0.147238484,0.144247947,0.142469279,0.150444375,0.159028888,0.14614314,0.176752051,0.154099302,0.150708548,0.156708311,0.154315693,0.161234008,0.151528963,0.157039116,0.163221856,0.155736446,0.143844039,0.161037653,0.136761547,0.14436593,0.149835711,0.151811661,0.139387638,0.133414355,0.143602263,0.130618002,0.125545718,0.12453119,0.141319009,0.130621142,0.154915416,0.161799955,0.145106981,0.140726736,0.181096799,0.15588733,0.15705899,0.140147916,0.134513186,0.149982029,0.156195165,0.143450296,0.154002998,0.167660754,0.156357865,0.143899704,0.152301697,0.169036075,0.159556969,0.147484201,0.168730117,0.158682329,0.150209499,0.163195284,0.160891466,0.160662769,0.133475608,0.173662835,0.153731024,0.163527236,0.139856794,0.147262393,0.143991735,0.154932816,0.147328527,0.174718297,0.147659934,0.141890445,0.139397205,0.147628268
2-Deoxy-D-Glucose 6-phosphate,0.002063266,0.001220321,0.001736819,0.001366227,0.001518211,5.76E-04,0.001460594,0.001379095,0.002386552,0.001652518,0.001793215,0.002005272,0.001432503,0.001511954,0.00107206,7.30E-04,8.50E-04,8.31E-04,0.001264027,0.001309864,0.001119306,7.03E-04,0.002091987,0.001286575,0.00167377,0.001648269,0.001516172,0.001267186,5.92E-04,0.001342894,6.21E-04,7.98E-04,0.001492815,9.08E-04,0.002016766,0.001455265,0.001962067,0.002107477,0.0020088,0.002225828,0.002210479,0.001909628,0.00130907,0.001739201,0.001986561,0.001623998,0.001397837,0.001852463,0.001537387,0.001862926,0.002043345,0.001714596,0.001805602,8.37E-04,0.001302368,0.001575407,0.001523636,0.001791358,0.001535489,0.001600685,9.80E-04,0.002094522,0.001588232,0.001767586,0.002262325,0.002098702,7.15E-04,0.001792053,0.001417166,0.001421583,0.001866895,0.001840121,0.001322853,0.001660404,9.08E-04,0.00126508,0.001650013,0.001401098,0.001461092,0.002144495,0.001745359,0.001836967,8.53E-04,8.14E-04,0.001037394,0.001360526,0.001269855,0.001440738,0.001287265,0.001702713,7.82E-04,0.001347842,7.75E-04,0.001241828,0.001636928,0.001502479,0.001538696
2-hydroxyglutarate,0.007436121,0.009310908,0.014952143,0.006136038,0.006972938,0.005616003,0.00894608,0.015093054,0.012408815,0.00893308,0.024467783,0.018766937,0.009922042,0.008322142,0.008243742,0.008290241,0.00849881,0.006807553,0.012432747,0.011151302,0.008470112,0.008928633,0.008830585,0.01167348,0.007305335,0.007007266,0.006503893,0.010991458,0.00509858,0.007837246,0.006252844,0.006196762,0.007352358,0.008560146,0.011056059,0.00850203,0.007083793,0.008895301,0.007957947,0.008906749,0.008367071,0.010157573,0.013847683,0.014683343,0.007834157,0.009511172,0.009772303,0.006856032,0.008280177,0.013227478,0.00946937,0.012928499,0.015295012,0.017102628,0.011297095,0.006746844,0.008605583,0.006374129,0.007999049,0.006121745,0.006955482,0.00895926,0.007031864,0.010636036,0.011360149,0.008067108,0.010765785,0.00671264,0.014220683,0.009044017,0.008253661,0.009697059,0.006456049,0.011224621,0.009406654,0.007752005,0.00680293,0.00613662,0.007791459,0.007075998,0.007448673,0.00616199,0.009157142,0.009762774,0.009341947,0.009564661,0.010517683,0.012390233,0.009718222,0.014910654,0.008365126,0.0092102,0.011477438,0.008784566,0.008345088,0.012133761,0.008770712
