Feature,365_FC_CURE_SO010-S2_Male_CD,427_FC_CURE_SO105-S2_Male_CD,367_FC_CURE_SO107-M15_Female_CD,023_FC_CURE_SO110-M3_Male_CD,357_FC_CURE_SO111-S2_Male_CD,265_FC_CURE_SO114-M21_Female_CD,327_FC_CURE_SO116-S2_Female_CD,400_FC_CURE_SO014-S2_Female_CD,241_FC_CURE_SO002-M3_Male_CD,337_FC_CURE_SO022-S2_Male_CD,402_FC_CURE_SO024-M6_Male_CD,216_FC_CURE_SO027-M6_Female_CD,414_FC_CURE_SO003-M15_Male_CD,100_FC_CURE_SO032-S2_Female_CD,372_FC_CURE_SO033-S2_Female_CD,250_FC_CURE_SO036-S2_Female_CD,275_FC_CURE_SO038_S2_Male_CD,281_FC_CURE_SO039-S_Male_CD,355_FC_CURE_SO043-M6_Male_CD,310_FC_CURE_SO044-S2_Male_CD,424_FC_CURE_SO048-M3_Male_CD,394_FC_CURE_SO005-S2_Male_CD,008_FC_CURE_SO055-M3_Female_CD,429_FC_CURE_SO056-M9_Female_CD,225_FC_CURE_SO057-M3_Male_CD,299_FC_CURE_SO059-S2_Female_CD,352_FC_CURE_SO061-S2_Female_CD,217_FC_CURE_SO062-M3_Male_CD,269_FC_CURE_SO066-S2_Male_CD,212_FC_CURE_SO007-S2_Male_CD,042_FC_CURE_SO071-S_Male_CD,346_FC_CURE_SO072-S2_Male_CD,420_FC_CURE_078-M3_Male_CD,396_FC_CURE_SO009-S2_Female_CD
1-Aminocyclopropanecarboxylate,0.233584834,0.222561535,0.863024541,0.210483427,0.226394636,0.304348091,0.368640697,0.27898797,0.219405589,0.181114114,0.216017471,0.11201382,0.17067351,0.24228188,0.153515847,0.227716396,0.287118192,0.179119466,0.26043051,0.128223141,0.173339292,0.185126104,0.117978773,0.365389928,0.422211912,0.490410869,0.445414067,0.17368902,0.608892281,0.218374902,0.188335857,0.482763183,0.212363744,0.358879836
1-Methyladenosine,0.056963944,0.19900224,0.244713707,0.082015917,0.093237117,0.127966441,0.078743352,0.332451132,0.086542911,0.144120962,0.0548827,0.121029963,0.064253846,0.160522549,0.386713549,0.087281148,0.344954579,4.564282655,0.059142983,0.111261418,0.060095837,1.040407984,0.044853253,0.36726531,0.967914309,0.188729145,0.165759864,0.061532077,0.480973002,0.085655459,0.153445433,9.470224811,0.179940298,0.111471006
10-HAD,2.985308633,7.333429608,2.962391014,13.56442161,6.220032288,3.869273924,3.08078353,4.072879633,7.078716834,6.330906864,2.726202349,3.228387968,4.360736247,10.60106559,1.533270225,5.905338345,1.0094681,3.510880601,8.586810333,1.496561027,8.454962842,5.09440929,6.762552585,12.35036497,8.013116443,8.971161437,9.427678956,11.11382273,4.105536366,5.971779129,11.47667722,18.28817746,4.178521977,6.295451641
10-Hydroxydecanoic acid,1.33249786,2.866063169,2.981087085,6.912831351,4.370446812,2.437899364,3.054601825,1.561454391,2.608631342,1.684216985,2.660390833,0.953116126,1.948552677,2.99278195,0.607689487,3.319672938,1.169512139,1.934604141,3.026573941,0.967328343,3.030207607,3.588413818,2.386461397,6.080592988,4.053200565,2.969175288,5.774140781,8.25123831,2.412810575,2.154930514,3.800296644,5.106966611,1.940771682,3.088911909
"13Z,16Z-docosadienoic acid",2.110752271,1.687793514,0.948973815,3.150481426,0.711871222,0.923280905,1.167648717,0.008008146,1.975636599,0.818056557,0.80391719,0.013705947,0.450324117,0.115934282,1.024010045,0.019900251,0.003688107,0.011691096,0.02355606,0.094311457,0.01991418,0.022937056,1.109638814,0.017579453,0.026327557,2.199210146,1.126892088,1.298547637,0.027841518,0,0.015420409,0,0.016947526,0.019717805
14-Methylhexadecanoic acid,41.9470034,78.91404465,24.92144915,93.58768109,36.24562489,31.1459677,57.57343281,13.09523632,216.4900494,54.58788253,21.32454332,33.06859433,24.14038816,29.65582021,59.23572468,25.23144002,1.653495526,12.96281339,89.28130215,3.431489632,29.86302797,26.56009647,26.08255566,35.86761154,26.28023471,43.95895319,49.25701492,28.54016789,5.196568651,28.02028988,30.06520108,45.32868884,40.25276001,39.39635673
2 Deoxy D Glucose,0.107722957,0.094083686,0.494062875,0.234887763,0.161839527,1.110936823,0.093302003,0.16249051,0.097669504,0.069960273,0.197066213,0.087336066,0.101873937,0.121104078,0.077687057,0.231241386,0.650866183,0.266950722,0.083695862,0.111969415,0.106399281,0.356324863,0.070948613,1.250022079,0.385873408,0.22480679,0.222249256,0.067591526,13.27002962,0.219031847,0.165386749,0.314430758,0.185748862,0.167174074
2-Acetamido-2-Deoxy-Beta-D-Glucosylamine,0.681304479,0.623915173,2.568841185,0.083491827,1.717451557,4.699428557,0.880361733,1.632387542,0.433880869,0.364334802,0.917726614,1.308341102,3.555462909,0.543491125,3.174171504,0.629903594,0.052455278,1.215523053,0.205240752,0.964306689,0.174418891,1.06699191,0.227343905,2.634697186,0.749855102,1.348179898,1.390412366,0.051400431,0.30829088,1.181200307,0.209281221,0.67433236,3.52098664,2.595801321
2-Aminoisobutyrate,1.836826175,1.793914245,8.914707109,2.061668394,4.068257127,2.957369974,3.550347215,3.37399114,2.027580173,2.108316556,1.121277066,2.960870378,1.878472572,2.178340441,3.339747171,1.253393025,5.357086724,1.538706363,2.529042096,3.52780904,2.120214199,2.524943332,1.198827081,11.98146419,14.14333425,5.399149918,3.406877644,1.272650112,1.519966946,8.236702675,6.71655324,5.094563849,1.800271456,3.381642271
2-Aminophenol,2.5890852,0.937321931,0.881687572,4.849032626,2.723975819,0.33842862,0.420041803,3.852278909,2.876537708,1.074493044,0.805630621,0.103820197,3.024760086,1.702951075,0.175132553,1.875791069,0.120437184,0.26466015,2.122845912,0.496626756,21.40869625,0.840273697,0.689843747,1.86273919,2.265336776,0.556940187,2.1269814,1.355159015,0.579264882,1.488739314,1.616275021,25.31881637,0.439564348,3.236992127
2-Deoxy-D-Glucose 6-phosphate,0.050533117,0,0.080045387,0.408707271,0.033983713,0.05105,0,0.026017244,0.012837773,0.036449438,0.014188234,0.004191151,0.013317454,0.031218477,0.026633142,0,0.025036473,0.040036642,0.015228831,0.015003227,0.003229415,0.204686069,0.009174715,0.05653464,0.019703557,0.018741371,0.013652246,0.030057381,0.028492705,0,0,0.047135792,0.01076531,0.029341269
2-Hydroxy-4-(Methylthio)Butyric Acid,0.042382883,0.167536054,0.17672341,0.21192634,0.070755084,0.46368645,0.102424077,0.033657903,1.883610124,0.045196659,0.196365198,1.121859152,0.17372193,0.056775127,7.091302987,1.116980532,1.738665054,0.394173678,0.055279099,0.813739636,0.050124754,0.657075473,0.022253574,0.942327387,0.75405805,0.401255816,0.480494054,0.039766854,0.343362465,5.430443134,11.9134385,4.42072467,1.993424726,0.936398256
2-hydroxyglutarate,1.567393884,4.839746088,1.27904256,1.259546979,2.827596396,2.92480171,3.358728508,16.49429079,3.708571909,2.883650514,1.111117246,2.688511438,3.650267595,1.077866092,1.608831137,9.060357455,24.5138378,21.37096182,1.978680368,20.58758181,0.658181127,8.965984706,0.49065251,9.416608254,3.566506961,3.722752368,1.661942437,0.590256079,5.751872941,7.087097217,0.868749988,10.28031564,2.982984311,8.567169524
2-Hydroxyhexadecanoic acid,74.66566606,35.69141438,27.49669021,54.13816529,29.98045003,116.5171066,10.4533584,11.89654042,35.61710398,32.58323575,16.7638552,23.38183437,25.80325277,55.29929494,19.30365469,43.62097509,10.33716052,28.37709917,52.46427034,64.19233582,21.37027704,16.01011608,50.68874024,84.94788245,53.81551224,31.60860842,121.4781964,27.24130723,42.64229994,59.25690606,91.2403802,30.56062079,31.94251278,48.90188903
2-Hydroxyisocaproic acid,6.074596993,19.73492975,7.355647669,10.6509897,16.08735627,14.31022027,18.94890464,107.3621062,61.0136477,15.01787709,4.444028426,24.55092609,6.410615716,14.24378088,54.8829398,46.97643471,10.04181307,118.1988263,8.774453306,4.830100373,5.827355667,120.4179887,3.368272763,57.86820949,18.32982607,15.80563752,18.82041471,8.567147417,6.450639097,12.321574,29.64798033,104.8913482,23.26149572,64.87973396
2-Hydroxytetradecanoic acid,1.513485654,4.990195354,2.09867415,2.913431736,1.30637621,5.399057617,1.686308959,1.454203259,3.716506538,1.553792731,4.057565787,2.540923667,2.078942346,4.020039364,0.622588828,4.31014852,1.229306243,4.6793542,1.497476142,6.453609228,1.790026896,2.509144869,3.005101256,4.622707164,2.076250084,2.422667332,4.322662844,2.832788016,2.041923145,5.998600084,2.902055268,2.559895018,1.835550896,2.61283274
2-Methylcitrate,0.046584285,0.077182361,0.068350448,0.11230623,0.135703046,0.09545088,0.059483525,0.046989137,0.0980392,0.084576508,0.039193579,0.043669238,0.046148678,0.155276134,0.021593883,0.069609123,0.043196691,0.057205432,0.065671214,0.050422099,0.053737122,0.089279212,0.051352865,0.260213124,0.110562312,0.126069748,0.218554967,0.089698614,0.264440691,0.046120802,0.050591646,0.11958578,0.064158954,0.079633627
2-Methylmaleate,2.054831984,2.566647298,0.812301705,8.330880288,4.882643056,2.015666727,1.891251573,3.382500085,2.757926262,2.525258801,1.314901163,2.322700773,3.975449278,3.560363072,0.530340645,1.90322037,7.811356998,2.30018905,4.925967774,5.4831734,3.141554739,9.661347111,3.343170203,17.56566509,10.9699247,3.42264336,6.487823749,7.028339262,1.376706867,6.229375837,4.568913754,8.038253239,2.124087981,6.535418062
