Feature	SampleID_25	SampleID_26	SampleID_27	SampleID_28	SampleID_29	SampleID_31	SampleID_32	SampleID_37	SampleID_38	SampleID_39	SampleID_40	SampleID_44	SampleID_47	SampleID_48	SampleID_49	SampleID_50	SampleID_52	SampleID_53	SampleID_54	SampleID_55	SampleID_56	SampleID_58	SampleID_59	SampleID_60	SampleID_61	SampleID_62	SampleID_64	SampleID_65	SampleID_66	SampleID_68	SampleID_69	SampleID_70	SampleID_75	SampleID_78	SampleID_79	SampleID_81	SampleID_82	SampleID_83	SampleID_2	SampleID_3	SampleID_4	SampleID_86	SampleID_87	SampleID_88	SampleID_89	SampleID_90	SampleID_91	SampleID_92	SampleID_93	SampleID_94	SampleID_95	SampleID_96	SampleID_97	SampleID_100	SampleID_5	SampleID_6	SampleID_7	SampleID_8	SampleID_103	SampleID_104	SampleID_105	SampleID_107	SampleID_108	SampleID_110	SampleID_111	SampleID_112	SampleID_113	SampleID_9	SampleID_10	SampleID_11	SampleID_17	SampleID_19	SampleID_20
14-Methylhexadecanoic acid	0.254379725	0.316476301	0.23337773	0.278106175	0.142964773	0.176759393	0.155300277	0.103209728	0.294848055	0.182654426	0.126279843	0.29031165	0.731462134	0.185715534	0.199559261	0.432628538	0.196879408	0.246176475	0.150451317	0.218787331	0.685230947	0.380457647	0.575867166	0.360762159	0.189373303	0.250443642	0.173545917	0.075604627	0.016581649	0.346313123	0.401375923	0.205887255	0.410290754	0.14499962	0.119163989	0.069179352	0.238632692	0.230035902	0.353076315	0.214571295	0.20732571	0.160290131	0.106699511	0.395626865	0.117932466	0.409432618	0.3184958	0.546373334	0.453222806	0.247395869	0.289706329	0.196607021	0.344300938	0.223011926	0.211942138	0.333320501	0.205705138	0.572186153	0.337020583	0.495148189	0.458616864	0.130909118	0.12800209	0.310277506	0.275488262	0.503581146	0.26042849	0.361596199	0.243092757	0.320030659	0.194573384	0.333718926	0.268689657
2-hydroxyglutarate	0.189048205	0.05424999	0.686940501	0.058393373	0.210065626	0.213747782	0.355029241	0.374749689	0.631782681	0.18848065	0.416683098	0.13802501	0.083807446	0.072151553	0.219751725	0.09646299	0.206472646	0.132656604	0.052760268	0.108808761	0.081265798	0.075322935	0.081810723	0.108223464	0.118452981	0.06280684	0.877987314	0.191510728	0.236855973	0.155934674	0.08996322	0.095691297	0.12382321	0.29493226	0.067447904	0.093422354	0.308408716	0.106182703	0.069058144	0.04038744	0.064443219	0.071423429	0.188335421	0.080790871	0.149004458	0.091470183	0.071020117	0.167127847	0.043705859	0.090461598	0.047724424	0.035328875	0.031284501	0.040991296	0.130168991	0.158092746	0.052911048	0.143038653	0.151331941	0.289631694	0.114252722	0.191776835	0.15692198	0.0913540219999999	0.071034339	0.060195423	0.064581782	0.056186374	0.128030435	0.075223581	0.168876117	0.064474362	0.374530504
3-(2-Hydroxyphenyl)Propanoate	0.042490318	0.063701616	0.11490689	0.014605002	0.068318713	0.084093643	0.210850455	0.165428372	0.026757735	0.055499814	0.096061008	0.047753093	0.038861556	0.06641728	0.066247147	0.056002003	0.081667782	0.11895396	0.106107327	0.056964946	0.019149453	0.034503724	0.018547531	0.169375302	0.054633988	0.040083968	0.133896504	0.021238536	0.076049837	0.042007126	0.05034565	0.179389848	0.033924425	0.088587946	0.052380535	0.101133451	0.100584225	0.053773265	0.041846507	0.029356097	0.068493561	0.034890544	0.107811705	0.030426064	0.077942677	0.061874601	0.044497858	0.053867131	0.011047357	0.103105769	0.036581078	0.048845711	0.054605726	0.060420421	0.090978008	0.081830305	0.034681059	0.060406349	0.061603842	0.064591828	0.04486046	0.054385136	0.140909085	0.024063243	0.05419924	0.017234383	0.041756486	0.047641609	0.077743016	0.059232097	0.054680565	0.094969753	0.057795845
3-Methoxytyramine	0.001149896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000556	0.0	0.0	0.0	0.0	0.0	0.000437	0.001143553	0.0	0.001088972	0.000355	0.001127598	0.0	0.0	0.0	0.0	0.0	0.001808696	0.0	0.000188	0.001157496	0.0	0.0	0.0	0.0	0.0	0.000995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001738738	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	0.001744791	0.0	0.0	0.0	0.0	0.0	0.004143791	0.00166884	0.000991	0.0	0.0	0.0	0.0	0.001264808	0.001804689	0.000478
4-Acetamidobutanoate	0.064735568	0.035826707	0.027206145	0.0470203479999999	0.063881521	0.030385817	0.032528719	0.059655719	0.058274567	0.065984436	0.037412649	0.04587925	0.047153218	0.061101219	0.043767015	0.042025065	0.036611244	0.034718935	0.014887356	0.081400632	0.052266867	0.06753977	0.047666809	0.057984062	0.041990829	0.024978927	0.005002984	0.005893429	0.009396885	0.059681068	0.035420473	0.046113126	0.049596255	0.020874988	0.016387206	0.0131846	0.034647317	0.030292706	0.063586055	0.045891876	0.028708469	0.029135099	0.047714612	0.015673308	0.045376262	0.101057814	0.101548839	0.153596973	0.051368771	0.045069749	0.012085523	0.037780238	0.033608484	0.043000616	0.027305143	0.03982201	0.017272233	0.06906706	0.060326109	0.060586038	0.046568726	0.041263597	0.03766025	0.047138858	0.05140874	0.033701667	0.047545956	0.098167558	0.093124637	0.07440024	0.0748709209999999	0.021861376	0.038838667
4-Hydroxybenzoate	0.027380177	0.03380736	0.034127944	0.014575246	0.012513609	0.057196341	0.023945544	0.078857804	0.041530949	0.262940502	0.064191138	0.013741711	0.041126832	0.034775592	0.066857249	0.016732165	0.014719581	0.020463362	0.007541484	0.020604205	0.031648049	0.005734875	0.010138011	0.027799076	0.030020615	0.036544591	0.008681531	0.00740437	0.002654504	0.014007233	0.026852393	0.016907632	0.055890822	0.199789184	0.041071884	0.10473905	0.014005154	0.027291127	0.010827867	0.013086349	0.012402559	0.025477605	0.114418073	0.038739757	0.016033688	0.020478722	0.008716145	0.008106809	0.008220916	0.011373394	0.00635343	0.007601606	0.027485418	0.019098757	0.009485109	0.014091335	0.006045674	0.01964608	0.013581358	0.020938401	0.024640237	0.039036581	0.046911685	0.017798196	0.014153485	0.013972299	0.020314785	0.012890612	0.016905605	0.018940548	0.043354572	0.010502464	0.090842273
4-Pyridoxate	0.005762431	0.004934136	0.005571086	0.011166656	0.031504087	0.020691352	0.009833634	0.017573342	0.022729544	0.013849714	0.015354589	0.035694988	0.020994956	0.01677444	0.017849333	0.033326441	0.02129749	0.016432188	0.003038282	0.009753593	0.003744788	0.005273692	0.015967731	0.007209165	0.011228956	0.014735254	0.001965323	0.002091185	0.004691827	0.007706416	0.022612168	0.015557074	0.033323065	0.004828296	0.003509095	0.004646589	0.005888764	0.00276934	0.020550221	0.022367935	0.00948887	0.006704954	0.007406077	0.006744207	0.017872564	0.023598769	0.084340425	0.01770348	0.0065996579999999	0.018196159	0.00274258	0.008873333	0.010500529	0.009512231	0.006991993	0.011220113	0.006288359	0.027922901	0.057453837	0.053933601	0.032134928	0.017206412	0.005450763	0.012630084	0.018642357	0.009814155	0.019520361	0.036599409	0.032794244	0.031441639	0.022774863	0.012166369	0.00655469
5-Methylcytosine	0.003505979	0.013298759	0.00250066	0.003222968	0.00200564	0.004054521	0.001672357	0.084971661	0.0	0.002174604	0.050519012	0.0	0.0	0.0	0.0	0.003001069	0.00217231	0.003644105	0.000861	0.003709747	0.0	0.002019235	0.0	0.0	0.003531258	0.005981414	0.002919942	0.001114917	0.001763228	0.0	0.002312058	0.001197962	0.002597472	0.002430841	0.0	0.002155087	0.002883087	0.00256291	0.002423347	0.0	0.0	0.001841648	0.006546164	0.001500746	0.002386428	0.006489228	0.007595882	0.0	0.0	0.0	0.000975	0.0	0.00788424	0.002203463	0.001581679	0.0	0.001316809	0.0	0.0	0.003295051	0.0	0.002908634	0.008137064	0.0	0.0	0.001276511	0.0	0.0	0.0	0.0	0.002796231	0.0	0.002207529
5-Valerolactone	1.222726725	1.433488822	1.510488712	1.66425343	1.878540605	1.292522426	0.874840644	0.558215724	2.72708909	2.482377156	2.149599527	2.382469682	2.487202897	1.822243942	1.519782841	2.595144402	1.925183299	1.103871058	0.318601907	1.297489097	0.929126708	0.749865956	0.492769663	0.592000969	1.025300815	0.614539143	0.779750971	0.118640794	0.159583702	1.542858287	2.786742912	4.072506012	1.368474119	0.383043472	0.472941486	0.310461855	1.763205802	0.446078988	1.132937417	1.626161059	1.103547403	0.385358524	0.174905638	0.482641856	0.515031677	3.632965371	3.062308455	2.064036551	0.698730676	2.267279534	0.517353811	1.572863676	2.665834535	1.078905559	0.602726701	0.795028446	0.856912296	2.611469829	3.131348795	1.920282128	1.475903989	1.077448938	0.704944811	2.094795747	2.969527704	0.78506047	2.01012007	1.90509633	1.752477203	1.645434024	0.977301777	1.47105992	0.6261452
5-Deoxyadenosine	0.005097848	0.006364504	0.013839343	0.018692167	0.004709824	0.007167651	0.007897253	0.011030389	0.009286455	0.010011005	0.003369633	0.018309633	0.022663138	0.004596393	0.012393418	0.024293776	0.007070162	0.013659873	0.00428728	0.012204625	0.013246046	0.033125344	0.070776074	0.004597845	0.007409825	0.004861732	0.002332204	0.002075615	0.002933738	0.029999445	0.005048453	0.046896021	0.009347253	0.006057069	0.001817123	0.002827351	0.006791612	0.0	0.006893259	0.00974916	0.019012125	0.021019501	0.003908674	0.004559428	0.006240579	0.006689662	0.024630185	0.023086079	0.008415203	0.016364806	0.007998287	0.007316257	0.008372045	0.004937559	0.007140817	0.009449763	0.016004163	0.016929727	0.008478432	0.01819914	0.01157883	0.005281469	0.004764151	0.015766616	0.012522838	0.005859536	0.008920139	0.009852093	0.007435771	0.006965408	0.013431123	0.005120143	0.004461621
