X_features	Y_features	association	p-values	q-values
10-Hydroxydecanoic acid	14-Methylhexadecanoic acid	0.244199679131186	0.03733643644906657	0.2696520410210363
10-Hydroxydecanoic acid	2-hydroxyglutarate	0.008823892385536223	0.9409375381640026	0.9764446150758518
10-Hydroxydecanoic acid	3-(2-Hydroxyphenyl)Propanoate	-0.23071701838825132	0.049552629585198654	0.30889442984861976
10-Hydroxydecanoic acid	3-Methoxytyramine	0.1851421222407748	0.11684777515802049	0.4746940865794582
10-Hydroxydecanoic acid	4-Acetamidobutanoate	0.17931630260397385	0.1290223070494098	0.49700285507477815
10-Hydroxydecanoic acid	4-Hydroxybenzoate	-0.023941749969147233	0.8406543535114556	0.9446519640093513
10-Hydroxydecanoic acid	4-Pyridoxate	0.23204368752313964	0.048220989423639664	0.3051151100699324
10-Hydroxydecanoic acid	5-Methylcytosine	-0.22195918839455647	0.05911950329812035	0.3317362006257328
10-Hydroxydecanoic acid	5-Valerolactone	0.2893372824879675	0.013036005951288798	0.15517836783177993
10-Hydroxydecanoic acid	5-Deoxyadenosine	0.19866098975688024	0.09200725525966595	0.4216999199401356
10-Hydroxydecanoic acid	Ascorbic acid	0.34206466740713326	0.0030558080047739123	0.07803224012190525
10-Hydroxydecanoic acid	Benzyl Alcohol	0.3496650759780511	0.0024268543780018013	0.06940803521085151
10-Hydroxydecanoic acid	Biotin	0.16913488831297052	0.15258048616550032	0.5321709639430865
10-Hydroxydecanoic acid	cis-10-Nonadecenoic acid	0.30669300207663036	0.008312996773817364	0.1264406822619323
10-Hydroxydecanoic acid	cis-11-Eicosenoic acid	0.22359002838454897	0.057232458576323295	0.3300097409844448
10-Hydroxydecanoic acid	Creatine	-0.11838208071084784	0.31851581171803195	0.6928208780247133
10-Hydroxydecanoic acid	D-Pinitol	0.04287356248608474	0.7187311592646757	0.8952835868889253
10-Hydroxydecanoic acid	D-Sedoheptulose	-0.09291849616485628	0.43428086976655345	0.7627414517329427
10-Hydroxydecanoic acid	Deoxyguanosine	-0.025947180056769104	0.827504619333417	0.9361800677585335
10-Hydroxydecanoic acid	Dihydrouracil	-0.04950136729779638	0.6774867341460615	0.8843968317407472
10-Hydroxydecanoic acid	Erucic acid	0.06875476483960974	0.5632732352564254	0.8372980524081999
10-Hydroxydecanoic acid	Fructose	-0.14624213254350243	0.21698784376157096	0.6297955172230082
10-Hydroxydecanoic acid	Glycine	-0.17336171788226584	0.1424387843602969	0.51488341951369
10-Hydroxydecanoic acid	Guanidinoacetate	-0.1268974453905961	0.2846953797309998	0.6666335796567532
10-Hydroxydecanoic acid	Histidine	0.029742070837961255	0.8027531488337674	0.930256890463766
10-Hydroxydecanoic acid	Hypotaurine	-0.08265457238059978	0.4869280769526946	0.802197177468149
10-Hydroxydecanoic acid	Kynurenate	0.38316221587060106	0.0008201360836172584	0.04525275732979669
10-Hydroxydecanoic acid	Malonate	-0.018542515117857584	0.8762645718381301	0.9565330822355161
10-Hydroxydecanoic acid	Melatonin	0.04843758624473027	0.6840469515601261	0.8856592819833522
10-Hydroxydecanoic acid	Mesaconic acid	-0.015302974207083798	0.8977537206125957	0.9613114519748578
10-Hydroxydecanoic acid	Methylguanidine	0.1738944169276611	0.1411974723539424	0.51488341951369
10-Hydroxydecanoic acid	Myo-Inositol	-0.056583981241515494	0.6344372647598069	0.8722011303042825
10-Hydroxydecanoic acid	N-Acetylasparagine	-0.1668826360607183	0.15819937856230284	0.5386312174859359
10-Hydroxydecanoic acid	N-Acetylglutamate	0.3055041342712576	0.008580376893540367	0.1264406822619323
10-Hydroxydecanoic acid	N-Acetylmethionine	0.2609835863260521	0.025736706708177348	0.21792310852911945
10-Hydroxydecanoic acid	N-Acetylserotonin	0.3042313632611927	0.008874937193540705	0.12685608352061858
10-Hydroxydecanoic acid	N-Formyl-L-Methionine	0.1810379806861937	0.12532814484579224	0.4943729968362932
10-Hydroxydecanoic acid	Oleic acid	0.1820313464149081	0.12323372352601755	0.4943729968362932
10-Hydroxydecanoic acid	Oxoglutarate	0.2650561520424535	0.02343594099080984	0.20945872260536294
10-Hydroxydecanoic acid	Palmitic acid	0.11575959521165002	0.32942969824041257	0.694978213198816
10-Hydroxydecanoic acid	Palmitoleic acid	0.04199062075774405	0.7242898182983231	0.9006386436231322
10-Hydroxydecanoic acid	Pentadecanoic acid	0.32845859558188334	0.004552763774597364	0.09864321511627622
10-Hydroxydecanoic acid	Pentanoate	0.3708811551277305	0.0012372575042524719	0.05331682738804002
10-Hydroxydecanoic acid	Pipecolate	0.17160310995927439	0.14659498445771155	0.5234257450425015
10-Hydroxydecanoic acid	Quinolinate	0.2790016043440701	0.016833620525094177	0.1715658836147088
10-Hydroxydecanoic acid	Raffinose	-0.07750215969394053	0.5145747083813204	0.8194229765983163
10-Hydroxydecanoic acid	Stachydrine	0.0564914229297791	0.6349925101230158	0.8722011303042825
10-Hydroxydecanoic acid	Stachyose	-0.06568901327715702	0.5808407271580107	0.8488918398625178
10-Hydroxydecanoic acid	Succinic Acid	-0.17832901394545234	0.1311777333375657	0.49887535185295784
10-Hydroxydecanoic acid	Taurine	-0.09292854498333951	0.434230956386534	0.7627414517329427
10-Hydroxydecanoic acid	Thymidine	0.06576248473700629	0.5804167981105537	0.8488918398625178
